id,Enrollment_date,Age,Education,Marital_status,Kids_at_home,Recency,Purchases_Fruit,Purchases_Meat,Purchases_Fish,Purchases_Wine,Purchases_Sweets,Num_purchases_Store,Num_purchases_Catalog,Num_purchases_Web,Num_web_visits_last_month
1017,2012-11-04,51,Bachelor,Married,0,54,80,161,120,806,11,1,0,1,6
679,2013-09-30,46,Bachelor,Married,0,3,86,559,63,260,9,5,1,3,2
2177,2013-03-22,63,Bachelor,Married,1,52,0,13,4,12,2,4,1,0,8
930,2013-05-28,32,Bachelor,Married,0,76,98,606,48,267,70,3,0,8,1
1533,2013-01-20,58,HighSchool,Married,0,76,35,179,46,293,59,4,1,0,7
471,2014-05-23,38,Bachelor,Married,0,19,0,39,0,451,4,0,0,0,5
270,2014-02-04,40,Bachelor,Married,0,2,0,43,6,167,2,7,1,4,5
1211,2013-09-22,57,HighSchool,Married,1,81,1,16,3,62,2,6,4,0,5
597,2014-02-11,42,HighSchool,Married,0,99,0,6,2,55,0,4,1,2,5
1301,2013-04-20,53,Bachelor,Single,1,39,0,17,0,37,0,1,0,1,9
1974,2013-03-28,44,Bachelor,Married,0,89,15,27,13,85,13,1,0,1,7
330,2013-04-03,59,HighSchool,Married,0,82,11,218,0,909,0,6,4,1,5
1799,2013-02-14,61,Bachelor,Married,0,4,69,300,150,531,138,3,0,0,2
1615,2013-08-31,68,Bachelor,Married,0,36,112,420,0,410,82,4,1,0,4
1749,2013-09-07,29,HighSchool,Single,1,81,1,7,17,5,14,1,0,4,6
37,2013-12-31,45,HighSchool,Single,0,37,17,151,0,702,8,2,0,1,2
1129,2013-01-31,26,HighSchool,Married,1,51,0,26,7,23,15,3,0,9,5
729,2012-08-09,46,HighSchool,Divorced,0,26,133,497,78,509,24,2,0,1,4
878,2013-12-16,37,Master,Single,0,7,60,207,78,852,36,1,0,1,5
485,2012-12-03,39,HighSchool,Divorced,1,99,2,88,15,185,5,1,0,1,8
1826,2013-06-03,62,Doctorate,Divorced,0,73,48,602,63,167,72,5,3,0,2
975,2013-10-25,46,Basic,Single,0,46,22,708,89,1394,91,0,0,0,5
554,2014-01-15,45,HighSchool,Married,0,13,129,259,168,129,121,7,1,4,4
1446,2013-08-19,56,Bachelor,Married,0,24,59,177,77,290,5,3,0,0,3
